Date Spot,SPC
2 Jan 12,16950
3 Jan 12,17160
4 Jan 12,17330
5 Jan 12,17260
6 Jan 12,17210
7 Jan 12,17380
9 Jan 12,17860
10 Jan 12,18000
11 Jan 12,17660
12 Jan 12,17720
13 Jan 12,17790
14 Jan 12,17790
16 Jan 12,18010
17 Jan 12,18030
18 Jan 12,17940
19 Jan 12,17910
20 Jan 12,17590
21 Jan 12,17730
23 Jan 12,17670
24 Jan 12,17760
25 Jan 12,17530
27 Jan 12,17280
28 Jan 12,17270
30 Jan 12,17440
31 Jan 12,17560
1 Feb 12,17400
2 Feb 12,17340
3 Feb 12,17390
4 Feb 12,17470
6 Feb 12,17710
7 Feb 12,17620
8 Feb 12,17520
9 Feb 12,17620
10 Feb 12,17300
11 Feb 12,17300
13 Feb 12,17280
14 Feb 12,17220
15 Feb 12,17260
16 Feb 12,17250
17 Feb 12,17250
18 Feb 12,17240
21 Feb 12,17140
22 Feb 12,16950
23 Feb 12,16710
24 Feb 12,16400
25 Feb 12,16420
27 Feb 12,16260
28 Feb 12,16310
29 Feb 12,16390
1 Mar 12,16470
2 Mar 12,16710
3 Mar 12,16750
5 Mar 12,16190
6 Mar 12,15710
7 Mar 12,16100
9 Mar 12,16300
10 Mar 12,15980
12 Mar 12,16120
13 Mar 12,16220
14 Mar 12,16250
15 Mar 12,16250
16 Mar 12,16250
17 Mar 12,16250
19 Mar 12,16220
20 Mar 12,16120
21 Mar 12,16010
22 Mar 12,16060
23 Mar 12,16230
24 Mar 12,16260
26 Mar 12,16380
27 Mar 12,16200
28 Mar 12,16290
29 Mar 12,16440
30 Mar 12,16530
31 Mar 12,16550
2 Apr 12,16650
3 Apr 12,16670
4 Apr 12,16720
7 Apr 12,16380
9 Apr 12,16320
10 Apr 12,16210
11 Apr 12,16120
12 Apr 12,16230
13 Apr 12,16280
16 Apr 12,16250
17 Apr 12,16240
18 Apr 12,16270
19 Apr 12,16230
20 Apr 12,16270
21 Apr 12,16300
23 Apr 12,16320
24 Apr 12,16290
25 Apr 12,16360
26 Apr 12,16440
27 Apr 12,16450
28 Apr 12,16470
30 Apr 12,16540
2 May 12,16830
3 May 12,16980
4 May 12,17060
5 May 12,17000
7 May 12,16990
8 May 12,16760
9 May 12,16700
10 May 12,16630
11 May 12,16260
12 May 12,16200
14 May 12,16130
15 May 12,16240
16 May 12,16110
17 May 12,16090
18 May 12,16020
19 May 12,16090
21 May 12,15840
22 May 12,15710
23 May 12,15290
24 May 12,15160
25 May 12,15300
26 May 12,15370
28 May 12,15500
29 May 12,15640
30 May 12,15710
31 May 12,15660
1 Jun 12,15530
2 Jun 12,15260
4 Jun 12,14950
5 Jun 12,15030
6 Jun 12,15220
7 Jun 12,15490
8 Jun 12,15470
9 Jun 12,15390
11 Jun 12,15310
12 Jun 12,15420
13 Jun 12,15420
14 Jun 12,15610
15 Jun 12,15700
16 Jun 12,15620
18 Jun 12,15730
19 Jun 12,15950
20 Jun 12,15870
21 Jun 12,15530
22 Jun 12,15590
23 Jun 12,15630
25 Jun 12,15950
26 Jun 12,15940
27 Jun 12,16060
28 Jun 12,16200
29 Jun 12,16380
30 Jun 12,16450
2 Jul 12,16480
3 Jul 12,16550
4 Jul 12,16570
5 Jul 12,16620
6 Jul 12,16550
7 Jul 12,16560
9 Jul 12,16780
10 Jul 12,16930
11 Jul 12,17110
12 Jul 12,17080
13 Jul 12,17120
14 Jul 12,17200
16 Jul 12,17790
17 Jul 12,17630
18 Jul 12,17770
19 Jul 12,17990
20 Jul 12,17900
21 Jul 12,17960
23 Jul 12,17930
24 Jul 12,17840
25 Jul 12,17780
26 Jul 12,17620
27 Jul 12,17690
28 Jul 12,17760
30 Jul 12,17760
31 Jul 12,17730
1 Aug 12,17670
2 Aug 12,17640
3 Aug 12,17640
4 Aug 12,18260
6 Aug 12,18220
7 Aug 12,18240
8 Aug 12,18390
9 Aug 12,18350
10 Aug 12,18350
11 Aug 12,18320
13 Aug 12,18130
14 Aug 12,18020
16 Aug 12,18100
17 Aug 12,18200
18 Aug 12,18280
21 Aug 12,18300
22 Aug 12,18370
23 Aug 12,18390
24 Aug 12,18380
25 Aug 12,18370
27 Aug 12,18300
28 Aug 12,18230
29 Aug 12,18180
30 Aug 12,18130
31 Aug 12,18260
1 Sep 12,18060
3 Sep 12,18070
4 Sep 12,17980
5 Sep 12,17830
6 Sep 12,17790
7 Sep 12,17690
8 Sep 12,17660
10 Sep 12,17390
11 Sep 12,17440
12 Sep 12,17470
13 Sep 12,17360
14 Sep 12,17240
15 Sep 12,17250
17 Sep 12,17070
18 Sep 12,16990
20 Sep 12,16990
21 Sep 12,16680
22 Sep 12,16620
24 Sep 12,16460
25 Sep 12,16330
26 Sep 12,16510
27 Sep 12,16520
28 Sep 12,16410
29 Sep 12,16360
1 Oct 12,16360
3 Oct 12,16250
4 Oct 12,15950
5 Oct 12,15700
6 Oct 12,15790
8 Oct 12,15870
9 Oct 12,15980
10 Oct 12,15990
11 Oct 12,16110
12 Oct 12,15810
13 Oct 12,15870
15 Oct 12,15790
16 Oct 12,15730
17 Oct 12,15760
18 Oct 12,16090
19 Oct 12,16180
20 Oct 12,16230
22 Oct 12,16390
23 Oct 12,16460
25 Oct 12,16160
27 Oct 12,16070
29 Oct 12,16120
30 Oct 12,16160
31 Oct 12,16150
1 Nov 12,16150
2 Nov 12,16150
3 Nov 12,16080
5 Nov 12,15980
6 Nov 12,16040
7 Nov 12,16070
8 Nov 12,16100
9 Nov 12,16160
10 Nov 12,16120
12 Nov 12,16130
14 Nov 12,16130
15 Nov 12,16120
16 Nov 12,16170
17 Nov 12,16190
19 Nov 12,16180
20 Nov 12,16150
21 Nov 12,16130
22 Nov 12,16100
23 Nov 12,16020
24 Nov 12,15990
26 Nov 12,15920
27 Nov 12,15970
29 Nov 12,16060
30 Nov 12,16110
1 Dec 12,16140
3 Dec 12,16140
4 Dec 12,16020
5 Dec 12,16000
6 Dec 12,16010
7 Dec 12,16020
8 Dec 12,16050
10 Dec 12,16090
11 Dec 12,16180
12 Dec 12,16270
13 Dec 12,16270
14 Dec 12,16330
15 Dec 12,16320
17 Dec 12,16200
18 Dec 12,16230
19 Dec 12,16240
20 Dec 12,16220
21 Dec 12,16260
22 Dec 12,16270
24 Dec 12,16300
26 Dec 12,16190
27 Dec 12,16260
28 Dec 12,16230
29 Dec 12,16200
31 Dec 12,16230
1 Jan 13,16230
2 Jan 13,16250
3 Jan 13,16190
4 Jan 13,16150
5 Jan 13,16110
7 Jan 13,16080
8 Jan 13,16130
9 Jan 13,16150
10 Jan 13,16110
11 Jan 13,16120
12 Jan 13,16180
14 Jan 13,16180
15 Jan 13,16190
16 Jan 13,16160
17 Jan 13,16250
18 Jan 13,16210
19 Jan 13,16210
21 Jan 13,16240
22 Jan 13,16180
23 Jan 13,16230
24 Jan 13,16240
28 Jan 13,16250
29 Jan 13,16310
30 Jan 13,16400
31 Jan 13,16360
1 Feb 13,16330
2 Feb 13,16320
4 Feb 13,16230
5 Feb 13,16240
6 Feb 13,16260
7 Feb 13,16280
8 Feb 13,16300
9 Feb 13,16410
11 Feb 13,16580
12 Feb 13,16570
13 Feb 13,16510
14 Feb 13,16570
15 Feb 13,16620
16 Feb 13,16630
18 Feb 13,16990
19 Feb 13,16930
20 Feb 13,17150
21 Feb 13,17170
22 Feb 13,17240
23 Feb 13,17440
25 Feb 13,17580
26 Feb 13,17480
27 Feb 13,17570
28 Feb 13,17800
1 Mar 13,18090
2 Mar 13,18070
4 Mar 13,17840
5 Mar 13,17870
6 Mar 13,18010
7 Mar 13,18060
8 Mar 13,18070
9 Mar 13,18320
11 Mar 13,18350
12 Mar 13,18340
13 Mar 13,18370
14 Mar 13,18440
15 Mar 13,18800
16 Mar 13,19020
18 Mar 13,18680
19 Mar 13,18590
20 Mar 13,18710
21 Mar 13,18540
22 Mar 13,18460
23 Mar 13,18310
25 Mar 13,18270
26 Mar 13,18320
28 Mar 13,18470
30 Mar 13,18660
1 Apr 13,18830
2 Apr 13,18750
3 Apr 13,18820
4 Apr 13,18750
5 Apr 13,18700
6 Apr 13,18600
8 Apr 13,18650
9 Apr 13,18650
10 Apr 13,18730
11 Apr 13,18780
12 Apr 13,18630
13 Apr 13,18660
15 Apr 13,18380
16 Apr 13,18150
17 Apr 13,18180
18 Apr 13,18190
20 Apr 13,17840
22 Apr 13,17880
23 Apr 13,17840
25 Apr 13,17670
26 Apr 13,17870
27 Apr 13,17880
29 Apr 13,17930
30 Apr 13,17970
2 May 13,17890
3 May 13,17960
4 May 13,18040
6 May 13,17980
7 May 13,17880
8 May 13,17900
9 May 13,17910
10 May 13,17960
11 May 13,17920
13 May 13,17920
14 May 13,17830
15 May 13,17950
16 May 13,17920
17 May 13,17930
18 May 13,17920
20 May 13,17960
21 May 13,17940
22 May 13,17930
23 May 13,17980
24 May 13,17960
27 May 13,17970
28 May 13,18160
29 May 13,18170
30 May 13,18190
31 May 13,18320
1 Jun 13,18480
3 Jun 13,18440
4 Jun 13,18670
5 Jun 13,18670
6 Jun 13,18650
7 Jun 13,18760
8 Jun 13,18770
10 Jun 13,18970
11 Jun 13,19030
12 Jun 13,19140
13 Jun 13,19260
14 Jun 13,19470
15 Jun 13,19450
17 Jun 13,19310
18 Jun 13,19290
19 Jun 13,19260
20 Jun 13,19270
21 Jun 13,19280
22 Jun 13,19350
24 Jun 13,19670
25 Jun 13,19650
26 Jun 13,19760
27 Jun 13,19850
28 Jun 13,19850
29 Jun 13,19840
1 Jul 13,19760
2 Jul 13,19750
3 Jul 13,19870
4 Jul 13,19900
5 Jul 13,20050
6 Jul 13,20080
8 Jul 13,20510
9 Jul 13,20570
10 Jul 13,20630
11 Jul 13,20590
12 Jul 13,20470
13 Jul 13,20440
15 Jul 13,20390
16 Jul 13,20280
17 Jul 13,20200
18 Jul 13,20240
19 Jul 13,20260
20 Jul 13,20270
22 Jul 13,20300
23 Jul 13,20250
24 Jul 13,20220
25 Jul 13,20140
26 Jul 13,20100
27 Jul 13,20190
29 Jul 13,20190
30 Jul 13,20120
31 Jul 13,20170
1 Aug 13,20220
2 Aug 13,20250
3 Aug 13,20430
5 Aug 13,20720
6 Aug 13,20870
7 Aug 13,20930
8 Aug 13,21310
10 Aug 13,21480
12 Aug 13,21390
13 Aug 13,21500
14 Aug 13,21820
16 Aug 13,22270
17 Aug 13,22810
19 Aug 13,22810
20 Aug 13,22810
21 Aug 13,22610
22 Aug 13,22560
23 Aug 13,22490
24 Aug 13,22510
26 Aug 13,22650
27 Aug 13,22790
28 Aug 13,22790
29 Aug 13,23690
30 Aug 13,23390
31 Aug 13,23300
2 Sep 13,23490
3 Sep 13,23390
4 Sep 13,23180
5 Sep 13,22960
6 Sep 13,22900
7 Sep 13,23090
10 Sep 13,22810
11 Sep 13,22660
12 Sep 13,22720
13 Sep 13,22580
14 Sep 13,22600
16 Sep 13,22540
17 Sep 13,22480
18 Sep 13,22400
19 Sep 13,22350
20 Sep 13,22290
21 Sep 13,22350
23 Sep 13,22400
24 Sep 13,22530
25 Sep 13,22830
26 Sep 13,23050
27 Sep 13,23060
28 Sep 13,23050
30 Sep 13,22990
1 Oct 13,23210
3 Oct 13,22920
4 Oct 13,22990
5 Oct 13,23050
7 Oct 13,22860
8 Oct 13,22670
9 Oct 13,22650
10 Oct 13,22730
11 Oct 13,22740
12 Oct 13,22700
14 Oct 13,21720
15 Oct 13,21680
17 Oct 13,21680
18 Oct 13,21630
19 Oct 13,21550
21 Oct 13,21450
22 Oct 13,21470
23 Oct 13,21370
24 Oct 13,21130
25 Oct 13,20950
26 Oct 13,21110
28 Oct 13,20850
29 Oct 13,20710
30 Oct 13,20610
31 Oct 13,20390
1 Nov 13,20010
2 Nov 13,19950
5 Nov 13,19950
6 Nov 13,19950
7 Nov 13,19960
8 Nov 13,19830
9 Nov 13,19710
11 Nov 13,19740
12 Nov 13,19800
13 Nov 13,19740
14 Nov 13,19570
16 Nov 13,19420
18 Nov 13,19100
19 Nov 13,19150
20 Nov 13,19190
21 Nov 13,19290
22 Nov 13,19200
23 Nov 13,19170
25 Nov 13,19070
26 Nov 13,19110
27 Nov 13,19060
28 Nov 13,18810
29 Nov 13,18710
30 Nov 13,18690
2 Dec 13,18650
3 Dec 13,18630
4 Dec 13,18700
5 Dec 13,18720
6 Dec 13,18700
7 Dec 13,18760
9 Dec 13,18740
10 Dec 13,18710
11 Dec 13,18640
12 Dec 13,18670
13 Dec 13,18730
14 Dec 13,18780
16 Dec 13,18810
17 Dec 13,18780
18 Dec 13,18780
19 Dec 13,18930
20 Dec 13,18950
21 Dec 13,18920
23 Dec 13,18880
24 Dec 13,18890
26 Dec 13,19120
27 Dec 13,19130
28 Dec 13,19220
30 Dec 13,19320
31 Dec 13,19480
1 Jan 14,19460
2 Jan 14,19470
3 Jan 14,19450
4 Jan 14,19430
6 Jan 14,19530
7 Jan 14,19640
8 Jan 14,19970
9 Jan 14,19940
10 Jan 14,19960
11 Jan 14,20070
13 Jan 14,20230
15 Jan 14,20320
16 Jan 14,20420
17 Jan 14,20510
18 Jan 14,20460
20 Jan 14,20310
21 Jan 14,20310
22 Jan 14,20450
23 Jan 14,20620
24 Jan 14,20600
25 Jan 14,20550
27 Jan 14,20530
28 Jan 14,20450
29 Jan 14,20440
30 Jan 14,20490
31 Jan 14,20530
1 Feb 14,20480
3 Feb 14,20460
4 Feb 14,20430
5 Feb 14,20500
6 Feb 14,20540
7 Feb 14,20600
8 Feb 14,20620
10 Feb 14,20560
11 Feb 14,20490
12 Feb 14,20560
13 Feb 14,20580
14 Feb 14,20530
15 Feb 14,20470
17 Feb 14,20390
18 Feb 14,20440
19 Feb 14,20440
20 Feb 14,20460
21 Feb 14,20470
22 Feb 14,20490
24 Feb 14,20460
25 Feb 14,20450
26 Feb 14,20410
28 Feb 14,20240
1 Mar 14,20220
3 Mar 14,20030
4 Mar 14,20070
5 Mar 14,20090
6 Mar 14,20100
7 Mar 14,20340
8 Mar 14,20350
10 Mar 14,20330
11 Mar 14,20310
12 Mar 14,20270
13 Mar 14,20250
14 Mar 14,20210
15 Mar 14,20220
18 Mar 14,20190
19 Mar 14,20210
20 Mar 14,20230
21 Mar 14,20240
22 Mar 14,20370
24 Mar 14,20230
25 Mar 14,20130
26 Mar 14,20260
27 Mar 14,20230
28 Mar 14,20270
29 Mar 14,20280
31 Mar 14,20290
1 Apr 14,20260
2 Apr 14,20220
3 Apr 14,20190
4 Apr 14,20200
7 Apr 14,20220
9 Apr 14,20200
10 Apr 14,20130
11 Apr 14,20070
15 Apr 14,20090
16 Apr 14,20130
17 Apr 14,20100
21 Apr 14,20400
22 Apr 14,20430
23 Apr 14,20470
25 Apr 14,20540
28 Apr 14,20590
29 Apr 14,20550
30 Apr 14,20550
2 May 14,20620
5 May 14,20770
6 May 14,20750
7 May 14,20720
8 May 14,20700
